Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1215,Willy Kambwala,fr FRA,DF,Villarreal,es La Liga,20.0,2004,7,6,492,5.5,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,0.00,0.03,1,8,0,2,1,50.0,0.37,0.18,0.00,0.00,11.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,195,229,85.2,3696,1293,0,0.0,0.0,0.0,0,4,0,0,8,205,23,11,0,0,0,0,0,0,0,0,195,7,4,5,1,1,4,75.0,1,4,3,1,3,10,24,0,1,0.18,1,0,0,0,0,0,0,0.00,274,53,170,97,8,4,274,1,1,100.0,0,0.0,124,579,287,1,1,0,2,1,173,0,0,1,0,1,0,0,0,3,4,0,0,0,8,12,9,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,de Bundesliga,22.0,2002,13,8,724,8.0,0,1,1,0,0,0,2,0,0.6,0.6,1.9,2.5,0.12,0.31,19,23,30,7,1,14.3,0.87,0.12,0.00,0.00,17.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,209,275,76.0,3121,928,1,1.9,1.9,-0.9,13,13,7,2,23,219,55,4,0,2,24,38,13,7,5,0,209,12,6,5,2,5,16,31.3,11,12,6,6,9,21,16,1,24,2.98,15,6,2,1,0,0,3,0.37,354,18,69,153,139,17,354,10,4,40.0,5,50.0,171,1034,570,19,14,8,12,7,181,30,2,0,0,7,1,0,24,9,6,0,0,1,28,4,13,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,34.0,1990,18,13,1140,12.7,1,0,1,1,0,0,3,0,0.6,0.6,1.3,2.0,0.08,0.15,16,86,23,5,2,40.0,0.39,0.16,0.20,0.50,18.7,0,0,0,0.6,0.6,0.12,+0.4,+0.4,827,918,90.1,12650,3699,0,1.3,2.4,-1.3,14,65,19,2,86,859,54,31,4,1,24,6,17,6,6,0,827,21,14,9,7,5,18,61.1,7,16,4,12,22,43,21,0,34,2.68,29,4,1,0,0,0,4,0.32,1025,29,190,637,207,10,1025,17,11,64.7,6,35.3,621,3069,1622,16,27,2,12,11,750,23,3,0,0,13,6,0,24,22,14,0,0,0,80,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Nordine Kandil,fr FRA,MF,Strasbourg,fr Ligue 1,23.0,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,3,6,50.0,51,6,0,0.0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,8,1,2,6,0,0,8,1,1,100.0,0,0.0,5,31,21,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31.0,1993,19,19,1524,16.9,21,7,28,12,9,9,3,0,15.8,8.8,3.3,12.1,1.12,1.13,19,56,91,67,29,43.3,3.96,1.71,0.18,0.41,16.1,3,9,9,15.8,8.8,0.13,+5.2,+3.2,327,410,79.8,5930,1386,7,3.3,4.2,+3.7,25,39,24,2,56,396,12,0,12,9,11,7,1,0,0,0,327,6,5,3,2,1,5,40.0,3,6,1,5,1,7,7,0,61,3.60,38,1,6,12,4,0,16,0.94,587,9,47,205,338,115,578,39,18,46.2,21,53.8,342,1584,629,19,13,15,28,14,460,91,3,0,0,8,13,12,11,1,5,2,0,0,45,20,15,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,23.0,2001,21,13,1225,13.6,6,4,10,6,0,0,1,0,2.8,2.8,4.5,7.3,0.73,0.53,40,105,102,31,12,38.7,2.28,0.88,0.19,0.50,18.1,0,0,0,2.8,2.8,0.09,+3.2,+3.2,815,941,86.6,12228,3040,4,4.5,5.1,-0.5,45,75,36,6,105,842,96,10,11,9,75,7,72,20,24,0,815,18,13,6,6,6,30,53.3,14,8,1,7,2,20,3,1,77,5.66,54,18,3,2,0,0,4,0.29,1066,10,80,435,558,53,1066,37,19,51.4,15,40.5,676,3315,1582,40,34,15,16,18,863,102,1,0,0,18,21,1,75,2,13,0,0,0,48,3,9,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,26.0,1998,19,9,777,8.6,0,1,1,0,0,0,0,0,1.2,1.2,0.9,2.0,0.12,0.24,27,23,66,22,6,27.3,2.55,0.69,0.00,0.00,17.5,0,0,0,1.2,1.2,0.05,-1.2,-1.2,145,211,68.7,2126,460,1,0.9,0.9,+0.1,8,6,6,1,23,206,4,0,2,1,19,2,0,0,0,0,145,5,2,2,1,2,8,50.0,4,4,1,3,0,5,3,0,22,2.54,14,1,3,4,0,0,2,0.23,308,5,36,107,167,41,308,30,9,30.0,17,56.7,218,1437,717,27,18,16,21,16,252,66,0,0,0,9,11,2,19,0,2,0,0,0,27,5,6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Atakan Karazor,,MF,Stuttgart,de Bundesliga,28.0,1996,19,18,1482,16.5,1,2,3,1,0,0,7,1,0.9,0.9,1.7,2.6,0.18,0.16,8,72,12,6,2,33.3,0.36,0.12,0.17,0.50,18.8,0,0,0,0.9,0.9,0.15,+0.1,+0.1,952,1097,86.8,14326,4231,2,1.7,1.5,+0.3,10,74,7,0,72,1007,86,85,4,5,2,1,0,0,0,0,952,31,14,8,14,9,36,47.2,19,22,3,19,20,51,25,1,24,1.46,19,1,0,1,1,2,4,0.24,1241,49,258,778,213,8,1241,16,10,62.5,2,12.5,642,2406,1005,8,14,1,19,9,834,12,7,1,1,18,42,0,2,20,14,0,0,0,94,32,25,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26.0,1998,7,3,298,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,0.30,0.25,6,6,31,6,2,33.3,1.81,0.60,0.17,0.50,20.3,1,0,0,0.7,0.7,0.12,+0.3,+0.3,72,96,75.0,962,159,0,0.1,0.1,-0.1,2,2,2,1,6,91,5,3,0,0,4,2,0,0,0,0,72,1,0,0,0,1,2,0.0,2,4,0,4,0,1,3,0,9,2.72,9,0,0,0,0,0,1,0.30,128,1,14,48,68,6,128,6,2,33.3,3,50.0,97,557,207,6,8,0,6,9,106,31,1,0,0,6,4,1,4,0,0,0,0,0,8,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Jesper Karlsson,se SWE,"FW,MF",Lecce,it Serie A,26.0,1998,6,1,113,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5,0.00,0.37,3,2,8,3,1,33.3,2.39,0.80,0.00,0.00,19.7,1,0,0,0.1,0.1,0.04,-0.1,-0.1,38,51,74.5,530,132,0,0.3,0.1,-0.3,2,4,2,2,2,49,1,0,0,0,6,0,1,0,1,0,38,0,0,0,0,0,4,0.0,4,1,0,1,0,0,0,0,2,1.58,2,0,0,0,0,0,0,0.00,61,0,5,28,28,2,61,3,2,66.7,1,33.3,34,213,105,3,2,0,1,1,49,8,1,0,0,0,0,0,6,0,0,0,0,0,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Jesper Karlström,se SWE,MF,Udinese,it Serie A,29.0,1995,23,22,1947,21.6,0,2,2,0,0,0,5,0,0.5,0.5,0.7,1.2,0.09,0.06,11,79,25,9,0,0.0,0.42,0.00,0.00,,19.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,743,907,81.9,12840,4112,2,0.7,0.9,+1.3,11,79,13,3,79,862,45,40,0,2,10,4,0,0,0,0,743,38,20,22,13,3,31,51.6,15,17,9,8,25,63,54,2,30,1.39,27,1,0,0,1,1,2,0.09,1083,66,317,641,136,14,1083,10,4,40.0,6,60.0,573,2836,1267,11,16,1,19,9,674,25,5,0,0,17,11,1,10,25,20,0,0,0,86,17,22,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Lior Kasa,il ISR,"MF,FW",Genoa,it Serie A,19.0,2005,5,1,155,1.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0.00,0.22,0,6,5,4,2,50.0,2.32,1.16,0.00,0.00,19.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,39,46,84.8,801,309,0,0.1,0.1,-0.1,2,6,1,0,6,43,3,1,0,1,2,0,2,1,1,0,39,3,3,1,2,0,4,25.0,3,4,1,3,2,5,2,0,5,2.92,3,1,0,1,0,0,0,0.00,74,4,17,35,23,5,74,3,0,0.0,1,33.3,35,188,70,0,3,0,5,1,42,5,2,0,0,2,3,0,2,2,3,0,0,0,11,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Grigoris Kastanos,cy CYP,"MF,FW",Hellas Verona,it Serie A,27.0,1998,17,7,656,7.3,1,1,2,1,0,0,2,0,0.6,0.6,1.5,2.1,0.27,0.29,7,26,21,15,5,33.3,2.06,0.69,0.07,0.20,25.0,2,0,0,0.6,0.6,0.04,+0.4,+0.4,170,236,72.0,2781,977,1,1.5,0.8,-0.5,9,23,6,1,26,215,20,4,2,3,15,4,11,5,4,1,170,18,11,6,5,7,17,47.1,9,13,2,11,6,24,3,0,19,2.60,11,6,0,1,1,0,2,0.27,316,4,51,158,112,8,316,12,0,0.0,11,91.7,178,799,289,7,7,0,7,8,191,21,2,0,0,10,12,0,15,6,11,0,0,0,40,8,12,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24.0,2001,9,3,372,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0.00,0.15,4,10,21,3,3,100.0,0.73,0.73,0.00,0.00,14.6,0,0,0,0.5,0.5,0.18,-0.5,-0.5,45,91,49.5,716,193,0,0.1,0.5,-0.1,3,6,6,0,10,87,3,1,1,1,1,1,0,0,0,0,45,6,4,1,3,2,5,40.0,3,5,2,3,2,8,7,0,12,2.92,7,1,0,1,3,0,1,0.24,139,6,19,71,51,12,139,7,2,28.6,3,42.9,77,367,171,4,6,4,11,2,99,21,2,0,0,5,14,0,1,2,4,1,0,0,13,17,19,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Michael Kayode,it ITA,DF,Brentford,eng Premier League,20.0,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.00,0.90,1,0,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,14,57.1,186,66,0,0.2,0.1,-0.2,2,0,1,1,0,10,4,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,12.00,1,1,0,0,0,0,0,0.00,14,0,5,1,8,1,14,0,0,,0,,6,30,7,1,0,1,0,0,5,3,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Michael Kayode,it ITA,"DF,FW",Fiorentina,it Serie A,20.0,2004,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.00,0.21,3,8,6,1,0,0.0,0.71,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,43,68,63.2,688,215,0,0.2,0.0,-0.2,1,4,1,0,8,52,16,1,0,0,6,15,0,0,0,0,43,1,1,1,0,0,0,,0,3,1,2,2,3,7,0,4,2.83,2,0,2,0,0,0,0,0.00,88,5,30,34,24,2,88,6,3,50.0,0,0.0,42,218,96,3,1,1,1,3,43,6,0,0,0,1,2,0,6,2,1,0,0,0,6,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
