Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,8,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,51,12,2,0,0,2,10,0,0,0,0,50,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,2,2.09,2,0,0,0,0,0,0,0.00,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25.0,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,14,18,77.8,222,48,0,0.0,0.0,0.0,0,1,0,0,2,14,4,0,0,0,2,4,0,0,0,0,14,1,1,0,1,0,1,100.0,0,1,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.10,3,2,3,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,21,8,0,0,0,1,8,0,0,0,0,17,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,0,0.00,0,0,0,0,0,0,0,0.00,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21.0,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.06,3,4,1,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,45,1,1,0,0,0,0,0,0,0,0,36,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,1,1.02,1,0,0,0,0,0,0,0.00,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,0.00,0.03,4,22,3,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,432,498,86.7,7860,2367,0,0.1,0.3,-0.1,2,27,0,0,22,456,40,20,0,0,0,1,0,0,0,0,432,17,11,15,2,0,16,62.5,6,24,17,7,13,30,56,1,6,0.55,5,1,0,0,0,0,0,0.00,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999,21,21,1862,20.7,4,1,5,2,2,3,2,0,4.2,1.8,2.8,4.6,0.15,0.34,78,146,87,20,5,25.0,0.97,0.24,0.10,0.40,24.6,0,2,3,4.2,1.8,0.09,-0.2,+0.2,959,1170,82.0,14535,3923,1,2.8,2.7,-1.8,29,112,27,1,146,1087,77,31,17,7,36,12,8,4,2,0,959,32,23,8,13,11,30,36.7,19,11,0,11,16,48,16,1,64,3.09,55,2,2,1,2,2,2,0.10,1374,18,180,780,438,38,1371,84,39,46.4,43,51.2,814,5205,2979,78,59,16,34,30,1017,87,2,0,0,33,25,2,36,16,23,0,0,0,116,10,15,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,2,26,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,291,332,87.7,5339,1686,0,0.0,0.1,0.0,0,15,1,0,26,313,19,15,0,6,0,2,0,0,0,0,291,17,12,11,5,1,18,61.1,7,6,3,3,13,30,39,1,3,0.44,3,0,0,0,0,0,0,0.00,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993,13,9,808,9.0,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.5,0.45,0.28,23,27,56,16,5,31.3,1.78,0.56,0.13,0.40,19.8,0,0,0,1.2,1.2,0.07,+0.8,+0.8,274,376,72.9,4286,1526,2,1.4,1.1,+0.6,12,10,11,2,27,306,66,7,0,2,23,59,0,0,0,0,274,24,16,10,8,6,27,70.4,8,14,4,10,9,33,26,0,26,2.90,17,3,3,2,0,1,2,0.22,488,35,142,189,161,27,488,15,7,46.7,8,53.3,198,978,567,23,9,8,15,10,262,56,1,0,0,13,5,2,23,9,16,0,0,0,41,13,10,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0.63,0.09,4,6,18,1,0,0.0,0.63,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,77,86,89.5,1142,226,1,0.1,0.2,+0.9,1,3,2,1,6,68,18,1,0,0,4,17,0,0,0,0,77,2,1,1,0,1,1,100.0,0,1,0,1,1,3,0,0,3,1.91,3,0,0,0,0,0,1,0.64,97,0,18,45,35,3,97,5,2,40.0,1,20.0,62,274,119,4,0,1,2,1,72,18,0,0,0,1,4,0,4,1,1,0,1,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000,21,12,1258,14.0,2,0,2,2,0,0,2,0,0.4,0.4,0.6,1.0,0.14,0.07,31,46,48,9,3,33.3,0.64,0.21,0.22,0.67,25.1,0,0,0,0.4,0.4,0.04,+1.6,+1.6,429,624,68.8,7306,3175,0,0.6,0.9,-0.6,6,38,7,6,46,472,150,9,1,1,53,141,0,0,0,0,429,29,20,13,10,6,33,54.5,15,19,2,17,11,40,37,0,14,1.00,11,0,1,0,1,1,2,0.14,766,39,237,350,186,10,766,20,12,60.0,7,35.0,314,1764,914,31,26,4,13,10,356,48,2,0,0,12,15,1,53,11,20,0,0,0,69,15,7,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22.0,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.00,0.02,2,6,2,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,58,2,2,0,1,0,0,0,0,0,0,36,6,4,3,3,0,1,100.0,0,3,0,3,0,6,5,0,3,1.03,3,0,0,0,0,0,0,0.00,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003,21,20,1675,18.6,6,1,7,5,1,1,1,0,5.7,4.9,2.4,7.4,0.32,0.44,42,32,113,52,19,36.5,2.79,1.02,0.10,0.26,14.2,0,1,1,5.7,4.9,0.09,+0.3,+0.1,236,333,70.9,3461,610,1,2.4,2.4,-1.4,17,13,12,2,32,312,20,1,1,3,20,1,0,0,0,0,236,7,3,2,2,3,7,14.3,6,8,0,8,2,9,26,1,41,2.20,29,0,6,4,2,0,5,0.27,554,23,53,224,290,99,553,58,24,41.4,32,55.2,367,2280,1061,42,27,26,60,35,429,113,1,0,0,19,30,3,20,2,3,0,0,0,51,29,41,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000,13,9,799,8.9,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.7,0.11,0.08,19,50,46,6,3,50.0,0.68,0.34,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,404,485,83.3,5933,2506,0,0.5,1.6,-0.5,8,31,8,1,50,410,73,8,1,1,24,59,6,6,0,0,404,20,14,9,8,3,23,65.2,8,12,1,11,5,25,31,0,16,1.80,13,3,0,0,0,0,0,0.00,574,30,131,271,174,18,574,8,4,50.0,4,50.0,289,1306,826,19,10,4,12,7,365,46,1,0,0,11,4,0,24,5,14,0,0,0,37,5,6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000,21,20,1668,18.5,6,2,8,5,1,2,4,0,9.4,7.8,1.5,9.3,0.38,0.59,28,21,148,51,22,43.1,2.75,1.19,0.10,0.23,14.0,0,1,2,9.4,7.8,0.15,-3.4,-2.8,193,307,62.9,2419,658,2,1.5,1.8,+0.5,10,13,9,3,21,292,13,1,0,0,29,7,3,2,0,0,193,16,9,6,6,4,19,21.1,15,15,1,14,6,22,7,0,29,1.56,17,0,4,4,3,1,6,0.32,532,5,47,172,318,98,530,37,10,27.0,27,73.0,329,1666,736,28,19,16,59,23,398,148,4,0,0,32,20,9,29,6,9,1,0,0,45,19,33,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999,21,21,1758,19.5,0,1,1,0,0,0,11,0,0.5,0.5,0.2,0.7,0.05,0.04,12,65,4,6,1,16.7,0.31,0.05,0.00,0.00,7.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,527,708,74.4,11820,4415,1,0.2,0.3,+0.8,6,52,9,2,65,670,35,31,1,14,5,3,0,0,0,0,527,27,17,16,10,1,24,58.3,10,19,12,7,33,60,101,1,20,1.02,15,0,0,2,1,2,3,0.15,923,126,491,392,46,15,923,2,1,50.0,1,50.0,460,2816,1569,12,7,0,13,2,482,4,11,0,0,38,18,2,5,33,17,1,2,0,57,28,26,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27.0,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,3,33.3,44,32,0,0.0,0.0,0.0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27.0,1997,18,9,873,9.7,2,2,4,1,1,2,0,0,6.1,4.4,1.2,5.6,0.31,0.75,5,15,46,19,9,47.4,1.96,0.93,0.05,0.11,12.9,0,1,2,6.1,4.4,0.23,-4.1,-3.4,104,149,69.8,1381,330,2,1.2,0.9,+0.8,8,9,4,0,15,134,14,0,2,0,2,0,0,0,0,0,104,13,9,0,9,4,7,71.4,2,8,0,8,2,15,8,0,20,2.06,15,0,0,4,1,0,4,0.41,252,13,31,119,102,50,250,11,3,27.3,8,72.7,102,348,126,5,4,3,19,6,158,46,0,0,0,16,6,3,2,2,9,1,0,0,10,20,25,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21.0,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,6,66.7,55,19,0,0.0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988,9,9,670,7.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.06,5,29,5,3,1,33.3,0.40,0.13,0.00,0.00,11.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,555,586,94.7,10328,2924,1,0.2,0.4,+0.8,3,29,3,2,29,569,16,11,0,0,3,4,0,0,0,0,555,6,4,5,1,0,3,66.7,1,6,6,0,15,21,28,0,7,0.94,7,0,0,0,0,0,1,0.13,654,50,242,374,39,8,654,1,1,100.0,0,0.0,430,1929,952,5,8,0,1,1,515,5,0,0,0,4,8,0,3,15,4,0,0,0,19,24,10,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.00,0.12,0,7,0,2,0,0.0,1.13,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,92,111,82.9,1811,598,0,0.0,0.0,0.0,0,5,0,0,7,109,2,2,0,0,0,0,0,0,0,0,92,2,1,2,0,0,2,100.0,0,1,0,1,1,3,2,0,1,0.56,1,0,0,0,0,0,0,0.00,124,7,43,75,6,3,124,2,1,50.0,0,0.0,96,650,377,0,2,0,2,0,100,0,0,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,3,66.7,15,12,0,0.0,0.0,0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,4,1,1,3,0,0,4,0,0,,0,,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25.0,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,0.33,0.44,11,6,45,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,112,179,62.6,1540,198,1,1.0,0.1,0.0,12,8,0,0,6,160,17,0,1,2,5,0,0,0,0,0,112,4,3,1,2,1,4,75.0,1,2,1,1,1,5,5,1,25,2.09,18,0,4,1,2,0,5,0.42,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996,23,18,1576,17.5,7,2,9,7,0,0,1,0,4.4,4.4,1.7,6.1,0.51,0.35,14,22,91,37,16,43.2,2.11,0.91,0.19,0.44,16.3,0,0,0,4.4,4.4,0.12,+2.6,+2.6,262,366,71.6,3969,728,2,1.7,2.2,+0.3,20,21,5,0,22,342,23,2,3,4,8,1,0,0,0,0,262,8,3,1,3,4,3,0.0,3,7,3,4,1,9,9,0,43,2.45,36,0,0,4,3,0,3,0.17,509,9,33,254,229,56,509,26,7,26.9,15,57.7,329,1397,498,14,13,3,40,20,392,91,1,0,0,14,25,15,8,1,3,0,0,0,35,23,39,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999,14,9,866,9.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,0.31,0.18,7,39,4,5,1,20.0,0.52,0.10,0.00,0.00,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1,339,403,84.1,5436,1359,3,0.7,0.2,+2.3,8,27,1,0,39,383,19,17,1,0,0,2,0,0,0,0,339,42,29,15,23,4,30,53.3,14,10,3,7,24,66,25,0,19,1.97,15,0,0,0,0,4,4,0.42,541,24,142,304,101,8,541,9,2,22.2,5,55.6,262,1163,513,7,11,1,12,7,278,4,4,0,0,20,9,0,0,24,29,0,1,0,44,15,8,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001,16,11,955,10.6,2,1,3,2,0,0,3,1,4.0,4.0,1.4,5.4,0.28,0.51,5,6,51,23,9,39.1,2.17,0.85,0.09,0.22,12.9,0,0,0,4.0,4.0,0.18,-2.0,-2.0,127,200,63.5,1544,172,1,1.4,1.5,-0.4,13,4,3,0,6,186,12,0,1,0,3,2,0,0,0,0,127,3,0,1,1,1,5,0.0,5,8,0,8,6,9,13,0,22,2.07,16,0,1,2,3,0,3,0.28,327,13,35,160,136,43,327,15,8,53.3,7,46.7,160,651,243,5,3,3,32,13,214,51,3,1,0,23,17,8,3,6,0,0,0,0,29,32,75,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27.0,1997,12,9,823,9.1,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,0.11,0.09,5,26,1,9,2,22.2,0.98,0.22,0.11,0.50,11.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,696,752,92.6,12596,4706,0,0.0,0.1,0.0,1,33,0,0,26,728,22,13,0,1,0,4,0,0,0,0,696,12,9,9,3,0,10,70.0,3,7,6,1,3,15,33,0,9,0.99,5,0,0,4,0,0,0,0.00,820,105,408,400,13,9,820,2,2,100.0,0,0.0,521,2152,1241,5,1,0,1,0,641,1,2,0,0,5,2,1,0,3,9,0,0,0,25,23,13,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21.0,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,10,80.0,138,11,0,0.0,0.0,0.0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,2,50.0,1,0,0,0,0,1,2,0,0,0.00,0,0,0,0,0,0,0,0.00,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23.0,2002,12,7,608,6.8,2,3,5,2,0,0,2,0,1.8,1.8,1.9,3.7,0.74,0.54,30,8,60,18,8,44.4,2.66,1.18,0.11,0.25,17.4,0,0,0,1.8,1.8,0.10,+0.2,+0.2,129,174,74.1,1847,302,3,1.9,1.1,+1.1,11,3,5,0,8,167,5,1,2,1,9,1,2,2,0,0,129,8,6,3,1,4,6,33.3,4,7,0,7,4,12,3,0,20,2.97,10,1,6,2,1,0,3,0.44,269,6,25,115,135,31,269,44,23,52.3,19,43.2,178,1492,710,30,16,17,18,10,203,60,2,0,0,10,6,1,9,4,6,0,0,0,25,3,5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23.0,2002,16,6,598,6.6,2,1,3,2,0,0,0,0,1.5,1.5,0.9,2.4,0.45,0.36,22,8,76,14,4,28.6,2.11,0.60,0.14,0.50,15.4,0,0,0,1.5,1.5,0.10,+0.5,+0.5,150,204,73.5,2135,466,1,0.9,1.5,+0.1,7,2,7,2,8,199,4,0,1,0,20,4,0,0,0,0,150,14,7,7,5,2,17,35.3,11,6,0,6,6,20,3,1,21,3.16,15,0,4,2,0,0,3,0.45,305,5,50,93,167,36,305,31,13,41.9,18,58.1,203,1351,627,22,14,11,26,6,206,76,0,0,0,9,0,0,20,6,7,0,0,0,30,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amine Adli,ma MAR,MF,Leverkusen,de Bundesliga,24.0,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,0.00,0.21,12,9,37,5,0,0.0,2.20,0.00,0.00,,13.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,92,120,76.7,1182,259,0,0.1,0.8,-0.1,2,2,7,2,9,115,5,0,0,1,11,5,0,0,0,0,92,7,4,1,1,5,5,60.0,2,3,0,3,0,7,3,0,11,4.83,5,0,2,1,3,0,0,0.00,157,3,21,43,95,15,157,14,7,50.0,6,42.9,82,579,351,12,10,2,5,2,121,37,1,0,0,2,7,0,11,0,4,2,0,0,12,6,4,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000,20,14,1120,12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,0.56,0.21,22,96,23,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.5,0.5,0.04,+2.5,+2.5,649,798,81.3,12791,4149,4,2.2,2.0,+1.8,21,80,10,3,96,710,84,39,3,13,56,5,39,17,19,0,649,31,18,11,15,5,38,44.7,21,11,1,10,6,37,18,0,45,3.61,32,9,2,2,0,0,8,0.64,913,26,161,551,211,9,913,24,10,41.7,12,50.0,544,3195,1488,22,25,2,17,4,607,23,3,1,1,9,16,0,56,6,18,0,0,0,69,5,15,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Adrián,es ESP,GK,Betis,es La Liga,38.0,1987,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,131,164,79.9,3436,2326,0,0.0,0.0,0.0,0,2,0,0,0,126,37,15,0,0,0,0,0,0,0,0,131,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,169,142,168,1,0,0,169,0,0,,0,,110,543,375,0,0,0,0,0,88,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,8,2.00,18,10,61.1,1,1,2,1,25.0,1,1,0,0,6.2,0.30,-1.8,-0.44,20,46,43.5,141,17,29.1,31.1,64,5,7.8,3,0.75,12.6
